seconds,gps_longitude,gps_latitude,gps_speed,gps_altitude,gps_bearing,gps_time,Timestamp
817.427249584,31.30169366,30.07393286,6.0,66.0,247.10000610351562,1511359740000.0,2017-11-22 11:08:57.336250000
817.737138959,31.30169366,30.07393286,6.0,66.0,247.10000610351562,1511359740000.0,2017-11-22 11:08:57.646139000
818.018353854,31.30169366,30.07393286,6.0,66.0,247.10000610351562,1511359740000.0,2017-11-22 11:08:57.927354000
818.279431563,31.30163506,30.07386301,5.25,67.0,239.6999969482422,1511359741000.0,2017-11-22 11:08:58.188432000
818.568094792,31.30163506,30.07386301,5.25,67.0,239.6999969482422,1511359741000.0,2017-11-22 11:08:58.477095000
818.847137188,31.30163506,30.07386301,5.25,67.0,239.6999969482422,1511359741000.0,2017-11-22 11:08:58.756137000
819.167060313,31.30159215,30.07381631,4.75,70.0,243.89999389648438,1511359742000.0,2017-11-22 11:08:59.076060000
819.487231563,31.30159215,30.07381631,4.75,70.0,243.89999389648438,1511359742000.0,2017-11-22 11:08:59.396232000
819.797057187,31.30159215,30.07381631,4.75,70.0,243.89999389648438,1511359742000.0,2017-11-22 11:08:59.706057000
820.019117655,31.30159215,30.07381631,4.75,70.0,243.89999389648438,1511359742000.0,2017-11-22 11:08:59.928118000
820.332220832,31.301572,30.07379626,3.25,70.0,250.5,1511359743000.0,2017-11-22 11:09:00.241221000
820.629927187,31.301572,30.07379626,3.25,70.0,250.5,1511359743000.0,2017-11-22 11:09:00.538927000
820.913357551,31.301572,30.07379626,3.25,70.0,250.5,1511359743000.0,2017-11-22 11:09:00.822358000
821.166840103,31.30154513,30.07379128,3.0,69.0,261.8999938964844,1511359744000.0,2017-11-22 11:09:01.075840000
821.456960885,31.30154513,30.07379128,3.0,69.0,261.8999938964844,1511359744000.0,2017-11-22 11:09:01.365961000
821.776955885,31.30154513,30.07379128,3.0,69.0,261.8999938964844,1511359744000.0,2017-11-22 11:09:01.685956000
822.047053124,31.30154513,30.07379128,3.0,69.0,261.8999938964844,1511359744000.0,2017-11-22 11:09:01.956053000
822.367106509,31.30152793,30.07377102,2.25,69.0,247.60000610351562,1511359745000.0,2017-11-22 11:09:02.276107000
822.659791352,31.30152793,30.07377102,2.25,69.0,247.60000610351562,1511359745000.0,2017-11-22 11:09:02.568791000
822.977044686,31.30152793,30.07377102,2.25,69.0,247.60000610351562,1511359745000.0,2017-11-22 11:09:02.886045000
823.277254425,31.30150468,30.07376608,1.75,69.0,267.0,1511359746000.0,2017-11-22 11:09:03.186254000
823.596970311,31.30150468,30.07376608,1.75,69.0,267.0,1511359746000.0,2017-11-22 11:09:03.505970000
823.901748487,31.30150468,30.07376608,1.75,69.0,267.0,1511359746000.0,2017-11-22 11:09:03.810748000
824.21827229,31.3014513,30.07375457,2.5,72.0,255.10000610351562,1511359747000.0,2017-11-22 11:09:04.127272000
824.527470779,31.3014513,30.07375457,2.5,72.0,255.10000610351562,1511359747000.0,2017-11-22 11:09:04.436471000
824.799679424,31.3014513,30.07375457,2.5,72.0,255.10000610351562,1511359747000.0,2017-11-22 11:09:04.708679000
825.111241716,31.3014114,30.07374162,3.0,70.0,249.39999389648438,1511359748000.0,2017-11-22 11:09:05.020242000
825.427166039,31.3014114,30.07374162,3.0,70.0,249.39999389648438,1511359748000.0,2017-11-22 11:09:05.336166000
825.706127028,31.3014114,30.07374162,3.0,70.0,249.39999389648438,1511359748000.0,2017-11-22 11:09:05.615127000
825.981422393,31.3014114,30.07374162,3.0,70.0,249.39999389648438,1511359748000.0,2017-11-22 11:09:05.890422000
826.297408018,31.30139752,30.07372964,2.75,70.0,249.0,1511359749000.0,2017-11-22 11:09:06.206408000
826.614752028,31.30139752,30.07372964,2.75,70.0,249.0,1511359749000.0,2017-11-22 11:09:06.523752000
826.887040935,31.30139752,30.07372964,2.75,70.0,249.0,1511359749000.0,2017-11-22 11:09:06.796041000
827.187093643,31.30138053,30.0737248,2.25,69.0,254.6999969482422,1511359750000.0,2017-11-22 11:09:07.096094000
827.469689578,31.30138053,30.0737248,2.25,69.0,254.6999969482422,1511359750000.0,2017-11-22 11:09:07.378690000
827.757007705,31.30138053,30.0737248,2.25,69.0,254.6999969482422,1511359750000.0,2017-11-22 11:09:07.666008000
